Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2022-02-10,01:00,Cordeiropolis - Modolo,SP17,MP10,26.0,ug/m3,manual
2022-02-13,01:00,Cordeiropolis - Modolo,SP17,MP10,19.0,ug/m3,manual
2022-02-16,01:00,Cordeiropolis - Modolo,SP17,MP10,36.0,ug/m3,manual
2022-02-19,01:00,Cordeiropolis - Modolo,SP17,MP10,28.0,ug/m3,manual
2022-03-21,01:00,Cordeiropolis - Modolo,SP17,MP10,21.0,ug/m3,manual
2022-03-24,01:00,Cordeiropolis - Modolo,SP17,MP10,31.0,ug/m3,manual
2022-03-27,01:00,Cordeiropolis - Modolo,SP17,MP10,15.0,ug/m3,manual
2022-03-30,01:00,Cordeiropolis - Modolo,SP17,MP10,39.0,ug/m3,manual
2022-04-02,01:00,Cordeiropolis - Modolo,SP17,MP10,15.0,ug/m3,manual
2022-04-05,01:00,Cordeiropolis - Modolo,SP17,MP10,31.0,ug/m3,manual
2022-04-08,01:00,Cordeiropolis - Modolo,SP17,MP10,37.0,ug/m3,manual
2022-04-11,01:00,Cordeiropolis - Modolo,SP17,MP10,31.0,ug/m3,manual
2022-04-14,01:00,Cordeiropolis - Modolo,SP17,MP10,23.0,ug/m3,manual
2022-04-17,01:00,Cordeiropolis - Modolo,SP17,MP10,15.0,ug/m3,manual
2022-04-20,01:00,Cordeiropolis - Modolo,SP17,MP10,48.0,ug/m3,manual
2022-04-23,01:00,Cordeiropolis - Modolo,SP17,MP10,47.0,ug/m3,manual
2022-04-26,01:00,Cordeiropolis - Modolo,SP17,MP10,53.0,ug/m3,manual
2022-04-29,01:00,Cordeiropolis - Modolo,SP17,MP10,69.0,ug/m3,manual
2022-05-02,01:00,Cordeiropolis - Modolo,SP17,MP10,49.0,ug/m3,manual
2022-05-05,01:00,Cordeiropolis - Modolo,SP17,MP10,27.0,ug/m3,manual
2022-05-08,01:00,Cordeiropolis - Modolo,SP17,MP10,19.0,ug/m3,manual
2022-05-11,01:00,Cordeiropolis - Modolo,SP17,MP10,38.0,ug/m3,manual
2022-05-14,01:00,Cordeiropolis - Modolo,SP17,MP10,40.0,ug/m3,manual
2022-05-17,01:00,Cordeiropolis - Modolo,SP17,MP10,35.0,ug/m3,manual
2022-05-20,01:00,Cordeiropolis - Modolo,SP17,MP10,52.0,ug/m3,manual
2022-05-23,01:00,Cordeiropolis - Modolo,SP17,MP10,62.0,ug/m3,manual
2022-05-26,01:00,Cordeiropolis - Modolo,SP17,MP10,84.0,ug/m3,manual
2022-05-29,01:00,Cordeiropolis - Modolo,SP17,MP10,54.0,ug/m3,manual
2022-06-04,01:00,Cordeiropolis - Modolo,SP17,MP10,15.0,ug/m3,manual
2022-06-10,01:00,Cordeiropolis - Modolo,SP17,MP10,28.0,ug/m3,manual
2022-06-16,01:00,Cordeiropolis - Modolo,SP17,MP10,56.0,ug/m3,manual
2022-06-22,01:00,Cordeiropolis - Modolo,SP17,MP10,44.0,ug/m3,manual
2022-06-28,01:00,Cordeiropolis - Modolo,SP17,MP10,62.0,ug/m3,manual
2022-07-04,01:00,Cordeiropolis - Modolo,SP17,MP10,64.0,ug/m3,manual
2022-07-10,01:00,Cordeiropolis - Modolo,SP17,MP10,40.0,ug/m3,manual
2022-07-16,01:00,Cordeiropolis - Modolo,SP17,MP10,54.0,ug/m3,manual
2022-07-22,01:00,Cordeiropolis - Modolo,SP17,MP10,69.0,ug/m3,manual
2022-07-28,01:00,Cordeiropolis - Modolo,SP17,MP10,76.0,ug/m3,manual
2022-08-03,01:00,Cordeiropolis - Modolo,SP17,MP10,86.0,ug/m3,manual
2022-08-09,01:00,Cordeiropolis - Modolo,SP17,MP10,27.0,ug/m3,manual
2022-08-15,01:00,Cordeiropolis - Modolo,SP17,MP10,63.0,ug/m3,manual
2022-08-21,01:00,Cordeiropolis - Modolo,SP17,MP10,20.0,ug/m3,manual
2022-08-27,01:00,Cordeiropolis - Modolo,SP17,MP10,58.0,ug/m3,manual
2022-09-02,01:00,Cordeiropolis - Modolo,SP17,MP10,73.0,ug/m3,manual
2022-09-08,01:00,Cordeiropolis - Modolo,SP17,MP10,53.0,ug/m3,manual
2022-09-14,01:00,Cordeiropolis - Modolo,SP17,MP10,42.0,ug/m3,manual
2022-09-20,01:00,Cordeiropolis - Modolo,SP17,MP10,36.0,ug/m3,manual
2022-09-26,01:00,Cordeiropolis - Modolo,SP17,MP10,30.0,ug/m3,manual
2022-10-02,01:00,Cordeiropolis - Modolo,SP17,MP10,20.0,ug/m3,manual
2022-10-08,01:00,Cordeiropolis - Modolo,SP17,MP10,28.0,ug/m3,manual
2022-10-14,01:00,Cordeiropolis - Modolo,SP17,MP10,41.0,ug/m3,manual
2022-10-20,01:00,Cordeiropolis - Modolo,SP17,MP10,28.0,ug/m3,manual
2022-11-07,01:00,Cordeiropolis - Modolo,SP17,MP10,25.0,ug/m3,manual
2022-11-13,01:00,Cordeiropolis - Modolo,SP17,MP10,23.0,ug/m3,manual
2022-11-19,01:00,Cordeiropolis - Modolo,SP17,MP10,26.0,ug/m3,manual
2022-11-25,01:00,Cordeiropolis - Modolo,SP17,MP10,20.0,ug/m3,manual
2022-12-01,01:00,Cordeiropolis - Modolo,SP17,MP10,14.0,ug/m3,manual
2022-12-07,01:00,Cordeiropolis - Modolo,SP17,MP10,14.0,ug/m3,manual
2022-12-13,01:00,Cordeiropolis - Modolo,SP17,MP10,12.0,ug/m3,manual
2022-12-19,01:00,Cordeiropolis - Modolo,SP17,MP10,20.0,ug/m3,manual
