Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2015-06-20,01:00,Jundiaí - Centro,SP35,FMC,12.0,ug/m3,manual
2015-06-26,01:00,Jundiaí - Centro,SP35,FMC,14.0,ug/m3,manual
2015-07-02,01:00,Jundiaí - Centro,SP35,FMC,24.0,ug/m3,manual
2015-07-08,01:00,Jundiaí - Centro,SP35,FMC,25.0,ug/m3,manual
2015-07-14,01:00,Jundiaí - Centro,SP35,FMC,38.0,ug/m3,manual
2015-07-20,01:00,Jundiaí - Centro,SP35,FMC,12.0,ug/m3,manual
2015-07-26,01:00,Jundiaí - Centro,SP35,FMC,32.0,ug/m3,manual
2015-08-01,01:00,Jundiaí - Centro,SP35,FMC,28.0,ug/m3,manual
2015-08-07,01:00,Jundiaí - Centro,SP35,FMC,27.0,ug/m3,manual
2015-08-13,01:00,Jundiaí - Centro,SP35,FMC,33.0,ug/m3,manual
2015-08-19,01:00,Jundiaí - Centro,SP35,FMC,32.0,ug/m3,manual
2015-08-25,01:00,Jundiaí - Centro,SP35,FMC,24.0,ug/m3,manual
2015-08-31,01:00,Jundiaí - Centro,SP35,FMC,11.0,ug/m3,manual
2015-09-06,01:00,Jundiaí - Centro,SP35,FMC,13.0,ug/m3,manual
2015-09-12,01:00,Jundiaí - Centro,SP35,FMC,11.0,ug/m3,manual
2015-09-18,01:00,Jundiaí - Centro,SP35,FMC,65.0,ug/m3,manual
2015-09-24,01:00,Jundiaí - Centro,SP35,FMC,20.0,ug/m3,manual
2015-09-30,01:00,Jundiaí - Centro,SP35,FMC,18.0,ug/m3,manual
2015-10-06,01:00,Jundiaí - Centro,SP35,FMC,20.0,ug/m3,manual
2015-10-12,01:00,Jundiaí - Centro,SP35,FMC,15.0,ug/m3,manual
2015-10-18,01:00,Jundiaí - Centro,SP35,FMC,48.0,ug/m3,manual
2015-10-24,01:00,Jundiaí - Centro,SP35,FMC,34.0,ug/m3,manual
2015-11-05,01:00,Jundiaí - Centro,SP35,FMC,11.0,ug/m3,manual
2015-11-11,01:00,Jundiaí - Centro,SP35,FMC,24.0,ug/m3,manual
2015-11-17,01:00,Jundiaí - Centro,SP35,FMC,25.0,ug/m3,manual
2015-11-23,01:00,Jundiaí - Centro,SP35,FMC,14.0,ug/m3,manual
2015-11-29,01:00,Jundiaí - Centro,SP35,FMC,19.0,ug/m3,manual
2015-12-11,01:00,Jundiaí - Centro,SP35,FMC,18.0,ug/m3,manual
2015-12-22,01:00,Jundiaí - Centro,SP35,FMC,19.0,ug/m3,manual
2016-02-17,01:00,Jundiaí - Centro,SP35,FMC,15.0,ug/m3,manual
